Channel,Mean Trust Score,Median Trust Score,Standard Deviation,Sample Size,Min Score,Max Score
prodege,0.8891,0.8649,0.0395,13898,0.8333,0.9459
tasks4dollars,0.8107,0.8125,0.0044,680,0.8000,0.8125
gifthunterclub,0.8556,0.8750,0.0618,11630,0.7000,0.9286
neodev,0.8399,0.8378,0.0669,237161,0.7000,1.0000
vivatic,0.8378,0.8378,0.0000,2263,0.8378,0.8378
globalactioncash,0.8000,0.8000,0.0000,100,0.8000,0.8000
zoombucks,0.9283,0.9189,0.0287,3943,0.9130,1.0000
elite,0.8677,0.8571,0.0682,74065,0.7000,1.0000
prizerebel,0.9459,0.9459,0.0000,2263,0.9459,0.9459
instagc,0.9087,0.9259,0.0707,8336,0.7500,1.0000
diamondtask,0.7000,0.7000,0.0000,100,0.7000,0.7000
cotter,0.9189,0.9189,0.0000,2262,0.9189,0.9189
bitcoinget,0.9577,0.9615,0.0045,2361,0.9524,0.9615
inboxpounds,0.9375,0.9375,0.0000,580,0.9375,0.9375
surveymad,0.8474,0.8182,0.0392,280,0.8182,0.9000
keeprewarding,0.8667,0.8667,0.0000,1700,0.8667,0.8667
eup_slw,0.7000,0.7000,0.0000,200,0.7000,0.7000
task_ph,0.8649,0.8649,0.0000,2261,0.8649,0.8649
memolink,0.9655,0.9655,0.0000,1620,0.9655,0.9655
getpaid,0.9235,0.8750,0.0873,1341,0.7000,1.0000
coinworker,0.8391,0.8571,0.0407,1421,0.7692,0.9000
tremorgames,0.8288,0.8108,0.0681,18767,0.7000,0.9667
prizeplank,1.0000,1.0000,0.0000,500,1.0000,1.0000
rewards1,0.8750,0.8750,0.0000,1221,0.8750,0.8750
sharecashgpt,0.9189,0.9189,0.0000,2261,0.9189,0.9189
clixsense,0.8447,0.8500,0.0601,166616,0.7000,1.0000
